reference	hypA	hypB	annotation
donc on va on va le laisser vous répondre	donc on va on va le laisser vos réponde	donc on va on va le laisser vos répondres	0
dix huit heures trente après	dix-huit heures trente après	dix-huit heures trene après	1
dix huit heures trente après	dix-huit heures trene après	dix-huit heures trente après	0
dimanche soir dufreigne philippe	dimanche soir' une ça	dimanche soire an t e	1
dimanche soir dufreigne philippe	dimanche soire an t e	dimanche soir' une ça	0
décortiquons cher christophe bonjour	décortiant jeanqueschristophe bonjour	décortiqant jacques-christophe bonjour	0
décortiquons cher christophe bonjour	décortiqant jacques-christophe bonjour	décortiant jeanqueschristophe bonjour	1
et alors je vais vous dire il y a monsieur sarkozy	oui une chose monsieur sarkozy	mais alors je vais i vou une chose et monsieur sarkozy arque vi	1
et alors je vais vous dire il y a monsieur sarkozy	mais alors je vais i vou une chose et monsieur sarkozy arque vi	oui une chose monsieur sarkozy	0
manuel valls il y pense par exemple pour	manuel valls l' y pense par exemple pour	manuel vall ça ne di pense par exemple eonpou	1
manuel valls il y pense par exemple pour	manuel vall ça ne di pense par exemple eonpou	manuel valls l' y pense par exemple pour	0
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes nou se nons soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tout ce noubre soutenonc totalement	1
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tout ce noubre soutenonc totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes nou se nons soutenons totalement	0
ça s' améliore	ça ser améliore	ça se es iméliore	1
ça s' améliore	ça se es iméliore	ça ser améliore	0
mais est ce que vous pouvez chiffrer ces moyens qui auraient été mal utilisés selon vous	mais est-ce que vous pouvez euh chiffrer ses moyens qui auraient été euh mal utilisés selon vous	mais est-ce que vous pouvez euh chiffrer ces moyens qui auraient été euh mal utilisés selon vous	0
mais est ce que vous pouvez chiffrer ces moyens qui auraient été mal utilisés selon vous	mais est-ce que vous pouvez euh chiffrer ces moyens qui auraient été euh mal utilisés selon vous	mais est-ce que vous pouvez euh chiffrer ses moyens qui auraient été euh mal utilisés selon vous	1
un mot sympa pour tout le monde	ah bon sympa pour tout le monde	ah mon sympa pour tout le monde	0
un mot sympa pour tout le monde	ah mon sympa pour tout le monde	ah bon sympa pour tout le monde	1
qu' est ce qu' ils ont défendu les classes les plus riches	est ce qu' ils ont défendu les classes les plus riches	qu' est-ce qu' ils ont défendu les classes les plus riches	0
qu' est ce qu' ils ont défendu les classes les plus riches	qu' est-ce qu' ils ont défendu les classes les plus riches	est ce qu' ils ont défendu les classes les plus riches	1
porter atteinte à la sécurité de la libye porter atteinte à l' amitié entre la france et la libye	porter atteinte à la sécurité de la libye porte atteinte à l' amitié entre la france et la libye	portée atteinte à la sécurité de la libye portée atteinte à l' amitié entre la france et la libye	1
porter atteinte à la sécurité de la libye porter atteinte à l' amitié entre la france et la libye	portée atteinte à la sécurité de la libye portée atteinte à l' amitié entre la france et la libye	porter atteinte à la sécurité de la libye porte atteinte à l' amitié entre la france et la libye	0
et cette affaire date de de la fin deux mille onze	il y a cette affaire date de de la fin deux milles onze	et cette affaire date de de la fin deux milles onze	0
et cette affaire date de de la fin deux mille onze	et cette affaire date de de la fin deux milles onze	il y a cette affaire date de de la fin deux milles onze	1
les plus pénalisés et puis autour de de cela et au delà même sur les sur les fonctionnaires	plus pénalisés et puis au autour de de de cela et au delà même sur les sur les fonctionnaires	les plus pénalisés et puis au autour de de de cela et au-delà même sur les sur les fonctionnaires	0
les plus pénalisés et puis autour de de cela et au delà même sur les sur les fonctionnaires	les plus pénalisés et puis au autour de de de cela et au-delà même sur les sur les fonctionnaires	plus pénalisés et puis au autour de de de cela et au delà même sur les sur les fonctionnaires	1
autre atout qui ne vous mettra pas mal à l' aise dans cette saga une française	tout qui ne vous mettra pas mal à l' aise dans cette saga française	atout qui ne vous mettra pas mal à l' aise dans cette saga français	0
autre atout qui ne vous mettra pas mal à l' aise dans cette saga une française	atout qui ne vous mettra pas mal à l' aise dans cette saga français	tout qui ne vous mettra pas mal à l' aise dans cette saga française	1
elle sera partie dans les sables comme d' autres avant elle	sera parti dont les sable comme d' autres avant elle	sera partie dans les sables comme d' autres avant elles	0
elle sera partie dans les sables comme d' autres avant elle	sera partie dans les sables comme d' autres avant elles	sera parti dont les sable comme d' autres avant elle	1
au dernier étage de l' olympia il a regardé le parterre il y avait tout le gratin du paf	au dernier étage de l' olympia il a regardé par terre il y avait tout le gratin du paf	au dernier étage de l' olympia il a regardé euh le parterre il y avait tout le gratin du pape	1
au dernier étage de l' olympia il a regardé le parterre il y avait tout le gratin du paf	au dernier étage de l' olympia il a regardé euh le parterre il y avait tout le gratin du pape	au dernier étage de l' olympia il a regardé par terre il y avait tout le gratin du paf	0
monsieur le président mesdames messieurs les députés monsieur le ministre luc chatel	le président mesdames messieurs les députés monsieur le ministre luc chatel	monsieur le président mesdame messieurs la député monsieur le ministre luc chatel	0
monsieur le président mesdames messieurs les députés monsieur le ministre luc chatel	monsieur le président mesdame messieurs la député monsieur le ministre luc chatel	le président mesdames messieurs les députés monsieur le ministre luc chatel	1
alors de son côté marianne se demande si borloo peut tuer bayrou	alors de son côté mariane se demande si borloo peut tuer bayrou	alors de son côté marianne se demande si borloto peut tuer ba yrou	1
alors de son côté marianne se demande si borloo peut tuer bayrou	alors de son côté marianne se demande si borloto peut tuer ba yrou	alors de son côté mariane se demande si borloo peut tuer bayrou	0
je peux vous dire que y a pas de stress en tout cas y en a beaucoup moins	je peux vous dire qu' il y a pas de stresse en tout cas il y en a beaucoup moins	je peux vous dire qu' il y a pasde stresse en tout cas l y en a beaucoup moins	1
je peux vous dire que y a pas de stress en tout cas y en a beaucoup moins	je peux vous dire qu' il y a pasde stresse en tout cas l y en a beaucoup moins	je peux vous dire qu' il y a pas de stresse en tout cas il y en a beaucoup moins	0
et je suis d' accord que c' est un peu irritant ce son	suis d' accord que c' est un peu héritant ce sont	oui je suis d' accord que c' est un peu héritant euh ce son	0
et je suis d' accord que c' est un peu irritant ce son	oui je suis d' accord que c' est un peu héritant euh ce son	suis d' accord que c' est un peu héritant ce sont	1
nos artistes qui font du cirque pour la bonne cause	artistes qui font du cirque pour la bonne cause	nos artistes qui font du sière pour la bonne cause	1
nos artistes qui font du cirque pour la bonne cause	nos artistes qui font du sière pour la bonne cause	artistes qui font du cirque pour la bonne cause	0
coincée un peu	coincer un peu	coincé un peu	0
coincée un peu	coincé un peu	coincer un peu	1
dans à à droite il y a sarkozy en haut fillon en dessous et copé encore en dessous	dan() à à droite il y a sarkozy en haut fillon en dessous et copé encore en dessous	dans à à droite il y a sarkozy en haut fillon en dessous est copé encore en dessous	1
dans à à droite il y a sarkozy en haut fillon en dessous et copé encore en dessous	dans à à droite il y a sarkozy en haut fillon en dessous est copé encore en dessous	dan() à à droite il y a sarkozy en haut fillon en dessous et copé encore en dessous	0
jean marc ayrault est en pole position pour matignon	jean-marc ayrault est en paul position pour matignon	jean-marc ayrault est en pôle position pour euh matignon	0
jean marc ayrault est en pole position pour matignon	jean-marc ayrault est en pôle position pour euh matignon	jean-marc ayrault est en paul position pour matignon	1
que vous ne l' ayez pas mais je le pose aux cliniques privées	n' ayez pas mais je pose aux cliniques privées	que vous ne l' yiez pas mais je le pose aux clinigues privé	0
que vous ne l' ayez pas mais je le pose aux cliniques privées	que vous ne l' yiez pas mais je le pose aux clinigues privé	n' ayez pas mais je pose aux cliniques privées	1
il fait du vélo dit votre fille	du vélo	il fait du vélo de votre fillehein	0
il fait du vélo dit votre fille	il fait du vélo de votre fillehein	du vélo	1
et cela en tuant le chef des opérations militaires du hamas écoutez	et cela entuant le chef des opérations militaires du hamas écoutez	et cela en tuant le chef des opérations militaires du amas écoutez	0
